,SK_ID_CURR,NAME_CONTRACT_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_CITY_NOT_LIVE_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,YEARS_BEGINEXPLUATATION_MEDI,COMMONAREA_MEDI,ENTRANCES_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,PREVIOUS_LOANS_COUNT,PREV_BUR_MEAN_DAYS_CREDIT,PREV_BUR_MEAN_DAYS_CREDIT_ENDDATE,PREV_BUR_MEAN_DAYS_ENDDATE_FACT,PREV_BUR_MEAN_AMT_CREDIT_MAX_OVERDUE,PREV_BUR_MEAN_CNT_CREDIT_PROLONG,PREV_BUR_MEAN_AMT_CREDIT_SUM,PREV_BUR_MEAN_AMT_CREDIT_SUM_DEBT,PREV_BUR_MEAN_AMT_CREDIT_SUM_LIMIT,PREV_BUR_MEAN_AMT_CREDIT_SUM_OVERDUE,PREV_BUR_MEAN_DAYS_CREDIT_UPDATE,PREV_BUR_MEAN_AMT_ANNUITY,PREV_BUR_MEAN_MONTHS_BALANCE_MEAN,PREVIOUS_APPLICATION_COUNT,PREV_APPL_MEAN_AMT_ANNUITY,PREV_APPL_MEAN_AMT_APPLICATION,PREV_APPL_MEAN_AMT_CREDIT,PREV_APPL_MEAN_AMT_DOWN_PAYMENT,PREV_APPL_MEAN_AMT_GOODS_PRICE,PREV_APPL_MEAN_HOUR_APPR_PROCESS_START,PREV_APPL_MEAN_NFLAG_LAST_APPL_IN_DAY,PREV_APPL_MEAN_RATE_DOWN_PAYMENT,PREV_APPL_MEAN_DAYS_DECISION,PREV_APPL_MEAN_SELLERPLACE_AREA,PREV_APPL_MEAN_CNT_PAYMENT,PREV_APPL_MEAN_DAYS_FIRST_DRAWING,PREV_APPL_MEAN_DAYS_FIRST_DUE,PREV_APPL_MEAN_DAYS_LAST_DUE_1ST_VERSION,PREV_APPL_MEAN_DAYS_LAST_DUE,PREV_APPL_MEAN_DAYS_TERMINATION,PREV_APPL_MEAN_NFLAG_INSURED_ON_APPROVAL,PREV_APPL_MEAN_CARD_MEAN_MONTHS_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_CREDIT_LIMIT_ACTUAL,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_OTHER_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_INST_MIN_REGULARITY,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_TOTAL_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_RECEIVABLE_PRINCIPAL,PREV_APPL_MEAN_CARD_MEAN_AMT_RECIVABLE,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_INSTALMENT_MATURE_CUM,PREV_APPL_MEAN_CARD_MEAN_SK_DPD,PREV_APPL_MEAN_CARD_MEAN_SK_DPD_DEF,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_VERSION,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_NUMBER,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_ENTRY_PAYMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_PAYMENT,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,CODE_GENDER_F,CODE_GENDER_M,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Single / not married,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_Laborers,WEEKDAY_APPR_PROCESS_START_SATURDAY,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE_Military,ORGANIZATION_TYPE_Police,ORGANIZATION_TYPE_Realtor,ORGANIZATION_TYPE_Restaurant,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE_Security Ministries,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Transport: type 3,ORGANIZATION_TYPE_Transport: type 4,WALLSMATERIAL_MODE_Others,WALLSMATERIAL_MODE_Panel,TARGET,NAME_FAMILY_STATUS,CODE_GENDER
6250,108903,Cash loans,Y,Y,0,103500.0,630000.0,16618.5,630000.0,0.0060079999999999,21188,,-6522.0,-4130,9.0,0,2.0,2,15,0,0.8187273829492623,0.7090608558177443,0.6446794549585961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-2344.0,0,0.0,2.0,0.0,4.0,3.0,-1084.3333333333333,467.66666666666674,-464.0,,0.0,308823.0,119239.5,0.0,0.0,-184.3333333333333,,,7.0,5653.08,4902.428571428572,26911.92857142857,3433.5,34317.0,13.142857142857142,1.0,0.1089662160551224,-731.0,70.71428571428571,5.0,181535.0,-2218.5,181600.0,-1885.5,181619.0,0.0,-36.0,1502.060070422535,136901.4084507042,1267.605633802817,1267.605633802817,0.0,0.0,563.1325714285714,1540.9723943661972,1506.4301408450706,1183.5938028169016,1467.5178169014089,0.0422535211267605,0.0422535211267605,0.0,10.82857142857143,286.1126760563381,0.0422535211267605,0.5,7.029545454545453,-2064.988636363636,-2038.154545454545,5028.049943181818,4292.815090909091,6.086956521739131,0.1605652173913043,0.0263785714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6254,109024,Cash loans,Y,Y,2,135000.0,99000.0,9922.5,99000.0,0.026392,12646,-2668.0,-2161.0,-4729,1.0,1,4.0,2,16,0,,0.4741773962298256,0.6956219298394389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2877.0,0,0.0,0.0,0.0,0.0,3.0,-1184.3333333333333,-494.33333333333326,-1577.0,0.0,0.0,682096.4700000001,629023.2000000001,0.0,0.0,-1066.3333333333333,,,3.0,11663.339999999998,110362.44,103014.0,8413.44,110362.44,14.333333333333336,1.0,0.1310674524563805,-1164.3333333333333,901.0,9.333333333333334,365243.0,120618.66666666669,-876.6666666666665,120658.66666666669,120715.66666666669,0.0,,,,,,,,,,,,,,,,,,,1.375,2.0,-1663.5,-1673.875,15154.23375,15154.23375,0.7333333333333333,0.0735,0.1002272727272727,-0.210975802625336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
6272,110707,Cash loans,Y,Y,1,225000.0,450000.0,47385.0,450000.0,0.00702,12228,-2082.0,-5.0,-4652,9.0,0,3.0,2,15,0,0.2988498878924675,0.5891601646617272,0.8245949709919925,0.0956,0.1037,0.9851,0.7484,0.0023,0.1638,0.3021,0.0921,0.0941,0.1054,0.0229,0.104,0.9816,0.7583,0.0,0.1724,0.3333,0.0,0.0909,0.0641,0.0,0.0,0.1031,0.9821,0.0028,0.1724,0.0971,0.1085,0.0097,0.0714,3.0,0.0,3.0,0.0,-2583.0,0,0.0,1.0,0.0,1.0,6.0,-1459.333333333333,874.0,-1028.75,8376.75,0.0,1982250.0,545296.5,,0.0,-815.1666666666665,0.0,-29.75,3.0,5714.114999999999,75267.0,78433.5,735.0,75267.0,13.333333333333336,1.0,0.0338055584349768,-1599.333333333333,520.6666666666666,19.33333333333333,365243.0,-1568.333333333333,-1018.3333333333336,-1118.3333333333333,-1112.6666666666667,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.08015873015873,8.5,-1343.3333333333333,-1349.635714285714,6843.2954285714295,6843.2954285714295,2.0,0.2106,0.1053,-0.1702649656526005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
6291,104038,Cash loans,N,N,0,391500.0,1024740.0,52321.5,900000.0,0.016612,15997,-4009.0,-1542.0,-4592,,1,2.0,2,14,0,0.3733361470358338,0.5789554792061148,0.5406544504453575,0.1041,0.0637,0.9796,0.7212,0.0318,0.1379,0.1667,0.1045,0.0841,0.0897,0.0186,0.1061,0.9796,0.7321,0.0321,0.1379,0.1667,0.1069,0.0918,0.0934,0.0039,0.0197,0.1051,0.9796,0.032,0.1379,0.1063,0.0913,0.019,0.0919,0.0,0.0,0.0,0.0,-1357.0,1,0.0,0.0,0.0,7.0,21.0,-1704.666666666667,1125.142857142857,-1435.3529411764707,15380.357142857143,0.0,1252111.2857142857,746.5909090909091,0.0,0.0,-897.047619047619,41162.46428571428,-27.761904761904763,21.0,56837.50875,604028.1428571428,658311.2142857143,31500.0,845639.4,12.61904761904762,1.0,0.6376410474771135,-713.1428571428571,159.76190476190476,19.375,312722.2857142857,-1449.7142857142858,51365.71428571428,-1096.142857142857,51264.142857142855,0.5714285714285714,-40.0,44876.78658227847,149240.50632911394,6977.848101265823,6977.848101265823,0.0,0.0,3973.7007692307698,10311.069873417724,9273.417721518988,42505.8311392405,44873.75620253165,0.3037974683544304,0.3037974683544304,0.0,28.987179487179485,0.0253164556962025,0.0253164556962025,0.9857142857142858,12.564465786314528,-1215.7070828331332,-1233.4479591836734,78805.61286284514,88305.19569417766,2.617471264367816,0.1336436781609195,0.051058317231688,-0.2506094892792399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6317,104115,Cash loans,N,Y,0,270000.0,835380.0,38839.5,675000.0,0.032561,11396,-766.0,-1747.0,-303,,0,2.0,1,16,0,0.1421444662200016,0.6899768700175408,0.2778856891082046,0.0402,0.04,0.9831,0.7688,,0.0345,0.5833,0.0292,0.0361,0.1278,0.0142,0.041,0.9831,0.7779,,0.0345,0.5833,0.0298,0.0395,0.1332,0.0117,0.0151,0.0406,0.9831,,0.0345,0.0297,0.1301,0.0145,0.0892,5.0,0.0,5.0,0.0,-1741.0,1,0.0,0.0,2.0,0.0,8.0,-752.125,681.75,-584.25,0.0,0.0,709635.9375,381325.5,0.0,0.0,-234.625,,,6.0,8665.545,24093.75,59890.5,11160.0,72281.25,17.166666666666668,1.0,0.1711451869452871,-951.8333333333336,8.833333333333334,8.0,243025.66666666663,-1783.0,120642.66666666669,-1531.0,120556.66666666669,0.0,-25.0,39000.0714893617,143617.02127659574,1034.1574468085107,10884.462127659574,0.0,9850.304680851064,2525.1269318181817,13120.425957446809,11023.91329787234,38301.60159574468,38916.84638297872,0.0425531914893617,3.2127659574468086,3.1702127659574466,11.227272727272728,0.0,0.0,0.7666666666666666,13.086021505376346,-1536.231182795699,-1545.4139784946235,10905.081580645165,10897.668677419357,3.094,0.14385,0.0464932126696832,-0.0672165672165672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6333,105945,Cash loans,N,N,0,29250.0,123637.5,8923.5,112500.0,0.01885,23283,,-137.0,-4887,,0,1.0,2,10,0,,0.3744635141218918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-284.0,0,,,,,,,,,,,,,,,,,,1.0,9041.175,81144.0,89712.0,0.0,81144.0,10.0,1.0,0.0,-284.0,80.0,12.0,365243.0,-254.0,76.0,365243.0,365243.0,1.0,,,,,,,,,,,,,,,,,,,1.0,4.0,-164.0,-192.0,9041.175,9041.175,4.226923076923076,0.3050769230769231,0.0721747042766151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Single / not married,M
6334,102524,Cash loans,N,Y,0,90000.0,383202.0,19696.5,274500.0,0.020246,16017,-3299.0,-2537.0,-4182,,0,2.0,3,11,0,0.2287244600934648,0.5428390608242112,0.1455428133497032,0.0619,0.0591,0.9831,0.7688,0.011,0.1379,0.1667,0.0588,0.0504,0.0647,0.0,0.063,0.9831,0.7779,0.0112,0.1379,0.1667,0.0602,0.0551,0.0674,0.0,0.0,0.0625,0.9831,0.0111,0.1379,0.0599,0.0658,0.0,0.0509,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,8.0,-449.375,248.625,-627.3333333333334,,0.0,124701.1875,81756.0,0.0,0.0,-245.25,,,6.0,9975.825,83979.15000000001,103737.75,652.95,167958.30000000002,11.833333333333336,1.0,0.0299964107112658,-519.8333333333334,6.0,33.0,365243.0,-1658.0,-1508.0,-1538.0,-1531.0,0.0,,,,,,,,,,,,,,,,,,,1.2,3.0,-1598.0,-1612.4,5684.85,5684.85,4.2578,0.21885,0.0513997839259711,-0.2059686583005556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Married,F
6386,100162,Cash loans,N,Y,0,112500.0,547344.0,18216.0,472500.0,0.020246,21061,,-5439.0,-4488,,0,1.0,3,6,0,0.5935670746654023,0.5982432424547262,0.2327247762679433,0.0907,0.0992,0.9771,0.6872,0.0,0.2069,0.1667,0.0456,0.0735,0.0854,0.003,0.0903,0.9772,0.6994,0.0,0.2069,0.1667,0.0419,0.0781,0.087,0.0,0.0,0.0916,0.9771,0.0,0.2069,0.0464,0.087,0.003,0.0669,1.0,1.0,1.0,1.0,-1594.0,1,0.0,0.0,0.0,2.0,11.0,-1390.3636363636365,-572.6,-1386.0,5188.46625,0.0,281935.70181818184,247725.3075,0.0,1.2272727272727273,-1037.7272727272727,14882.850000000004,-40.18181818181818,9.0,17355.510000000002,301380.0,331975.5,10125.0,339052.5,10.111111111111107,1.0,0.0735298129224792,-1106.6666666666667,117.22222222222224,35.25,365243.0,59959.33333333334,60924.33333333334,60199.33333333334,60206.0,0.5,-8.0,0.0,45000.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.2628787878787882,6.081818181818183,-944.9454545454546,-963.9795454545456,87045.73278409088,85453.15332954544,4.86528,0.16192,0.0332807156011575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Single / not married,F
6442,109059,Cash loans,N,N,1,360000.0,1288350.0,41692.5,1125000.0,0.030755,11053,-630.0,-2972.0,-2843,,0,3.0,2,10,1,,0.5393367395649199,0.4223696523543468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2464.0,1,0.0,0.0,0.0,0.0,4.0,-728.75,5336.75,-661.0,0.0,0.0,1513800.0,1779390.0,0.0,0.0,-191.25,,,2.0,13819.005,119785.5,129656.25,0.0,119785.5,16.5,1.0,0.0,-2237.0,-1.0,14.0,365243.0,-2206.5,-1816.5,-1936.5,-1934.5,1.0,,,,,,,,,,,,,,,,,,,1.10989010989011,5.5,-2071.5,-2081.989010989011,21152.13576923077,21152.13576923077,3.57875,0.1158125,0.0323611596227733,-0.0569981000633312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6527,105956,Cash loans,N,Y,1,225000.0,787131.0,30631.5,679500.0,0.00963,14895,-316.0,-70.0,-4531,,0,3.0,2,13,0,0.2055925296681389,0.6665250854733347,0.6577838002083306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2213.0,1,0.0,0.0,1.0,1.0,7.0,-1748.571428571429,182.7142857142857,-1321.4,0.0,0.0,354657.8571428572,194665.5,0.0,0.0,-889.2857142857142,0.0,-30.0,2.0,22632.3675,734022.0,738634.5,11808.0,734022.0,16.5,1.0,0.0924666584305489,-864.5,249.5,42.0,365243.0,-834.0,396.0,182219.5,182220.5,0.0,,,,,,,,,,,,,,,,,,,1.3571428571428572,8.035714285714286,-622.9285714285714,-632.0595238095237,77547.63455357144,141833.3488392857,3.49836,0.13614,0.0389153774911672,-0.0212151728768042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6564,104390,Cash loans,N,Y,0,135000.0,755190.0,32125.5,675000.0,0.030755,19721,-170.0,-8842.0,-3103,,0,1.0,2,13,0,,0.5843244570249809,0.8128226070575616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2039.0,0,0.0,1.0,1.0,2.0,4.0,-1582.0,-1421.5,-1420.5,0.0,0.0,45122.85,0.0,0.0,0.0,-1175.25,,,3.0,8797.5,70918.5,67693.5,3225.0,70918.5,15.333333333333336,1.0,0.0364556352879566,-1288.3333333333333,234.66666666666663,12.0,365243.0,-1073.0,-743.0,-743.0,-738.0,0.0,,,,,,,,,,,,,,,,,,,1.0,6.5,-908.0,-931.5833333333336,8787.738749999999,8787.738749999999,5.593999999999999,0.2379666666666666,0.0425396257895364,-0.0086202525226915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Separated,F
6567,100834,Cash loans,N,Y,2,202500.0,485640.0,38938.5,450000.0,0.0145199999999999,16133,-146.0,-722.0,-2126,,1,4.0,2,15,1,,0.5604905546190478,0.6754132910917112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-116.0,0,0.0,0.0,0.0,1.0,10.0,-1001.3,-904.375,-839.7777777777777,0.0,0.0,102173.058,38865.5,7244.016428571428,0.0,-557.8,,,6.0,20005.2975,292590.75,305775.75,0.0,292590.75,13.333333333333336,1.0,0.0,-917.0,295.0,10.0,273808.0,-958.5,90891.5,90884.0,90888.25,0.25,-8.5,435520.3865624999,450000.0,22500.0,28830.8840625,0.0,6330.8840625,19067.450625,22210.714285714286,13918.9303125,413708.0034375,433341.4303125,0.5,1.1875,0.6875,6.5625,0.0,0.0,0.7586206896551724,11.720905172413795,-692.2645114942528,-696.3242456896552,21524.313588362067,17733.139816810344,2.3982222222222216,0.1922888888888889,0.0801797627872498,-0.0090497737556561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
6579,107592,Cash loans,Y,N,1,180000.0,1493086.5,48523.5,1363500.0,0.022625,13746,-818.0,-3556.0,-3913,6.0,0,3.0,2,14,0,0.593422057209554,0.639708038213253,0.2940831009471255,0.0742,,0.3284,,,0.2414,0.3333,,,0.2568,0.0,0.0,0.0005,,,0.2414,0.3333,,,0.2676,,0.0,0.0,0.0,,0.2414,,0.2614,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,0.0,0.0,0.0,0.0,5.0,-2327.8,247.2,-845.75,,0.0,740355.3,69689.7,0.0,0.0,-635.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.294925,0.269575,0.0324987869088629,-0.0595082205732576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Married,M
6647,108855,Cash loans,N,N,1,108000.0,490495.5,30136.5,454500.0,0.00733,10028,-312.0,-9760.0,-2578,,0,2.0,2,11,0,0.2863638015566105,0.1717247690973856,0.5620604831738043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-1788.0,1,0.0,0.0,0.0,2.0,4.0,-926.0,-507.25,-705.0,0.0,0.0,129305.5875,5842.5,0.0,0.0,-401.5,,,2.0,5885.0775,38369.25,38112.75,4243.5,38369.25,16.0,1.0,0.1091050485551034,-1172.0,104.0,9.0,365243.0,-1137.0,-897.0,-912.0,-905.5,0.0,,,,,,,,,,,,,,,,,,,1.0333333333333332,5.083333333333334,-1014.5,-1022.6333333333332,6023.9085,5429.4285,4.541625,0.2790416666666667,0.0614409306507399,-0.0311128839250099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Single / not married,F
6658,109003,Cash loans,Y,Y,0,216000.0,776304.0,30208.5,648000.0,0.015221,19658,-2637.0,-5279.0,-2415,3.0,1,2.0,2,8,0,,0.7080131620542212,0.501075160239048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-1116.0,1,0.0,0.0,0.0,3.0,14.0,-1054.2857142857142,-398.1538461538461,-1104.5,3560.445,0.0714285714285714,298633.9082142857,79897.3907142857,105.825,0.0,-637.2857142857142,,,4.0,15515.5725,251841.375,257511.375,2016.0,251841.375,10.75,1.0,0.0506974986775485,-1122.0,16.25,20.5,365243.0,-1091.0,-506.0,90596.25,90601.0,0.25,,,,,,,,,,,,,,,,,,,1.4138257575757576,7.371212121212121,-899.8636363636364,-944.5378787878788,19933.776178977278,24216.306860795456,3.594,0.1398541666666666,0.0389132350213318,-0.1341438600061044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
6674,100718,Cash loans,N,Y,2,234000.0,360000.0,26325.0,360000.0,0.04622,16297,-7481.0,-3500.0,-4909,,0,4.0,1,13,0,0.7589414660880455,0.7007002517588631,0.3296550543128238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-311.0,1,0.0,1.0,0.0,0.0,1.0,-1228.0,599.0,,,0.0,589500.0,258124.5,0.0,0.0,-8.0,,-35.0,1.0,6188.13,37255.5,37255.5,0.0,37255.5,11.0,1.0,0.0,-311.0,25.0,8.0,365243.0,-276.0,-66.0,-126.0,-123.0,0.0,,,,,,,,,,,,,,,,,,,2.7142857142857144,3.1428571428571432,-211.7142857142857,-221.28571428571428,6722.697857142856,8329.840714285714,1.5384615384615383,0.1125,0.073125,-0.4590415413879855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6719,107413,Revolving loans,N,N,0,72000.0,202500.0,10125.0,202500.0,0.032561,20299,,-434.0,-1830,,0,2.0,1,16,0,0.9211262827470952,0.3520118995624929,0.3842068130556564,0.0557,,0.9757,,,0.0345,0.3333,0.0246,,0.0381,0.0028,0.0567,0.9757,,,0.0345,0.3333,0.0252,,0.0396,,0.003,0.0562,0.9757,,0.0345,0.025,0.0387,0.0029,0.0305,0.0,0.0,0.0,0.0,-642.0,0,0.0,0.0,0.0,0.0,2.0,-2057.5,-1509.0,-1418.5,,0.0,348844.5,0.0,0.0,0.0,-1412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8125,0.140625,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
6722,106069,Revolving loans,Y,Y,0,112500.0,405000.0,20250.0,405000.0,0.008625,21032,-1156.0,-2382.0,-2387,14.0,0,2.0,2,17,0,,0.5778569921609762,0.3807996826489149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1109.0,0,0.0,0.0,0.0,3.0,6.0,-739.1666666666665,292.1666666666667,-568.3333333333334,,0.0,439241.25,230914.5,0.0,0.0,-197.16666666666663,,,5.0,33220.5975,256712.4,284560.2,0.0,641781.0,12.0,1.0,0.0,-427.8,28.6,33.0,365243.0,-785.5,174.5,-545.5,-537.0,0.5,,,,,,,,,,,,,,,,,,,1.4261363636363638,5.068181818181818,-663.4545454545455,-675.7272727272727,83194.75380681819,132285.66289772725,3.6,0.18,0.05,-0.0549638645872955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
6764,110342,Revolving loans,N,N,0,135000.0,270000.0,13500.0,270000.0,0.0084739999999999,11375,-2094.0,-2323.0,-2345,,0,1.0,2,10,1,0.2006791283384192,0.3401798742465581,0.5154953751603267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1633.0,0,0.0,0.0,2.0,1.0,9.0,-1161.3333333333333,-935.875,-1142.428571428571,0.0,0.0,68011.45000000001,9418.10625,0.0,0.0,-879.4444444444445,,,4.0,10286.145,68206.5,78726.375,0.0,136413.0,14.75,1.0,0.0,-565.5,2999.5,20.0,365243.0,-1053.0,-483.0,181910.5,181913.5,0.0,,,,,,,,,,,,,,,,,,,1.0555555555555556,6.388888888888888,-891.3333333333335,-901.4281045751634,15196.1975,13813.2425,2.0,0.1,0.05,-0.1840879120879121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Single / not married,M
6788,103442,Cash loans,N,N,1,81000.0,143910.0,17208.0,135000.0,0.030755,15295,-780.0,-8319.0,-4449,,0,3.0,2,11,0,0.3074636333663567,0.6504914084967827,0.4740512892789932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,3.0,-337.0,981.0,-248.0,,0.0,290863.5,259807.5,0.0,0.0,-90.0,6430.5,-7.5,4.0,15606.9,151270.875,195266.25,2025.0,201694.5,11.0,1.0,0.105124605124605,-1150.0,7.25,20.0,365243.0,-1499.0,-929.0,-1079.0,-1008.3333333333336,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0742894056847545,9.334163898117389,-1289.4246954595794,-1286.0091362126243,20540.175473421925,17219.18448089701,1.7766666666666666,0.2124444444444444,0.1195747342088805,-0.0509970578620464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
